"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside\/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1546214400000,"12:45:00","4E","5000 PARK HEIGHTS AVE","COMMON ASSAULT","O",null,614,"NORTHWEST","CENTRAL PARK HEIGHTS",-76.6737168979,39.347617385,null,"PARKING LOT-OUTSIDE","Northwestern",1
1546214400000,"18:00:00","4E","100 W 29TH ST","COMMON ASSAULT","I",null,512,"NORTHERN","CHARLES VILLAGE",-76.619453,39.32307,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"21:45:00","4E","200 E BALTIMORE ST","COMMON ASSAULT","O",null,111,"CENTRAL","DOWNTOWN",-76.612100885,39.2896840724,null,"STREET",null,1
1546214400000,"19:45:00","4E","4400 MARBLE HALL RD","COMMON ASSAULT","O",null,413,"NORTHEAST","NEW NORTHWOOD",-76.5947074343,39.3430926675,null,"STREET",null,1
1546214400000,"07:45:00","4E","2300 SEAMON AVE","COMMON ASSAULT","I",null,922,"SOUTHERN","CHERRY HILL",-76.624785,39.253414,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"17:25:00","4E","1900 GRIFFIS AVE","COMMON ASSAULT","O",null,831,"SOUTHWEST","MORRELL PARK",-76.650403,39.267567,null,"STREET",null,1
1546214400000,"11:00:00","4E","1900 ARGONNE DR","COMMON ASSAULT","I",null,421,"NORTHEAST","MORGAN STATE UNIVERS",-76.58258441,39.3404783603,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"00:40:00","4E","800 W 35TH ST","COMMON ASSAULT","I",null,531,"NORTHERN","HAMPDEN",-76.63019,39.329928,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"03:00:00","4E","3000 MARDEL AVE","COMMON ASSAULT","I",null,923,"SOUTHERN","LAKELAND",-76.654073,39.25601,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"19:30:00","4E","300 E BELVEDERE AVE","COMMON ASSAULT","I",null,523,"NORTHERN","ROSEBANK",-76.613769,39.364167,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"20:19:00","4E","3000 SEABURY RD","COMMON ASSAULT","I",null,922,"SOUTHERN","CHERRY HILL",-76.621567,39.24964,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"02:05:00","4E","200 DOUGLAS CT","COMMON ASSAULT","O",null,212,"SOUTHEAST","DUNBAR",-76.5970029643,39.2936831567,null,"STREET",null,1
1546214400000,"02:05:00","4E","200 DOUGLAS CT","COMMON ASSAULT","O",null,212,"SOUTHEAST","DUNBAR",-76.5970029643,39.2936831567,null,"STREET",null,1
1546214400000,"22:45:00","4E","4000 BALFERN AVE","COMMON ASSAULT","I",null,432,"NORTHEAST","BELAIR-EDISON",-76.559474,39.317021,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"17:50:00","4E",null,"COMMON ASSAULT","I",null,634,"NORTHWEST",null,-76.689687,39.347963,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"08:55:00","4E","3200 BELAIR RD","COMMON ASSAULT","I",null,431,"NORTHEAST","CLIFTON PARK",-76.5747697635,39.3207433657,null,"APT\/CONDO - OCCUPIED","Northeastern",1
1546214400000,"11:10:00","4E","4200 FAIRFAX RD","COMMON ASSAULT","I",null,641,"NORTHWEST","WEST FOREST PARK",-76.6881719351,39.3203369944,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"12:25:00","4E","1700 N BENTALOU ST","COMMON ASSAULT","I",null,723,"WESTERN","COPPIN HEIGHTS\/ASHBU",-76.6543052232,39.3080291918,null,"ROW\/TOWNHOUSE-OCC","Western",1
1546214400000,"02:00:00","4E","2700 W FRANKLIN ST","COMMON ASSAULT","I",null,842,"SOUTHWEST","PENROSE\/FAYETTE ST OUTREACH",-76.6615455784,39.2930971475,null,"ROW\/TOWNHOUSE-VAC",null,1
1546214400000,"10:12:00","4E","1600 CYPRESS ST","COMMON ASSAULT","I",null,911,"SOUTHERN","CURTIS BAY",-76.5872482864,39.2237835944,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"19:45:00","4E","6500 SAINT HELENA AVE","COMMON ASSAULT","I",null,243,"SOUTHEAST","SAINT HELENA",-76.5311418892,39.2599366834,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"12:00:00","4E","4900 YORK RD","COMMON ASSAULT","I",null,524,"NORTHERN","WINSTON-GOVANS",-76.609616,39.348034,null,"APT\/CONDO - OCCUPIED",null,1
1546128000000,"07:20:00","4E","1600 N WOLFE ST","COMMON ASSAULT",null,null,331,"EASTERN","BROADWAY EAST",-76.591482,39.308826,null,null,"Eastern 1",1
1546128000000,"01:15:00","4E","700 S BROADWAY","COMMON ASSAULT","I",null,213,"SOUTHEAST","FELLS POINT",-76.593533,39.283475,null,"TAVERN\/NIGHT CLUB",null,1
1546128000000,"20:20:00","4E","3300 E FAYETTE ST","COMMON ASSAULT","O",null,222,"SOUTHEAST","BALTIMORE-LINWOOD",-76.570806,39.294806,null,"STREET",null,1
1546128000000,"16:11:00","4E","4700 HELLWIG RD","COMMON ASSAULT","I",null,445,"NORTHEAST","CEDMONT",-76.533993,39.344152,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"16:30:00","4E","4300 GLENARM AVE","COMMON ASSAULT","I",null,445,"NORTHEAST","CEDMONT",-76.540168,39.344664,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"06:00:00","4E","200 N FULTON AVE","COMMON ASSAULT","O",null,711,"WESTERN","FRANKLIN SQUARE",-76.64537,39.290648,null,"STREET",null,1
1546128000000,"21:17:00","4E","200 STOCKHOLM ST","COMMON ASSAULT","O",null,941,"SOUTHERN","CARROLL - CAMDEN INDUSTRIAL AREA",-76.621247,39.274479,null,"STREET",null,1
