"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside\/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1546214400000,"13:30:00","5D","2300 ORLEANS ST","BURGLARY","I",null,221,"SOUTHEAST","PATTERSON PLACE",-76.584173,39.295517,null,"OTHER - INSIDE",null,1
1546214400000,"07:35:00","5C","5600 CLEARSPRING RD","BURGLARY","I",null,523,"NORTHERN","MID-GOVANS",-76.606282,39.358541,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"17:30:00","5A","1700 S CHARLES ST","BURGLARY","I",null,942,"SOUTHERN","S.B.I.C.",-76.6136094118,39.2699190563,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"12:30:00","5D","1400 EDMONDSON AVE","BURGLARY","I",null,713,"WESTERN","HARLEM PARK",-76.640384,39.295351,null,"RELIGIOUS  INSTITUTI","Central",1
1546214400000,"08:00:00","5D","1400 LIGHT ST","BURGLARY","I",null,942,"SOUTHERN","S.B.I.C.",-76.6118753927,39.2733447578,null,"GARAGE ON PRIV. PROP",null,1
1546214400000,"20:00:00","5A","2500 EUTAW PL","BURGLARY","I",null,133,"CENTRAL","RESERVOIR HILL",-76.638411,39.31505,null,"ROW\/TOWNHOUSE-OCC",null,1
1546214400000,"11:00:00","5A","0 W 20TH ST","BURGLARY","I",null,141,"CENTRAL","CHARLES NORTH",-76.617044,39.31218,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"15:30:00","5D","2100 WASHINGTON BLVD","BURGLARY",null,null,935,"SOUTHERN","CARROLL PARK",-76.645984,39.272348,null,null,null,1
1546214400000,"15:24:00","5A","1600 N BROADWAY","BURGLARY","I",null,343,"EASTERN","OLIVER",-76.595082,39.308795,null,"ROW\/TOWNHOUSE-OCC","Eastern 1",1
1546214400000,"21:00:00","5A","4100 SAINT GEORGES AVE","BURGLARY","I",null,542,"NORTHERN","PEN LUCY",-76.601104,39.340786,null,"APT\/CONDO - OCCUPIED",null,1
1546214400000,"12:31:00","5A","5500 LAURELTON AVE","BURGLARY","I",null,423,"NORTHEAST","HARFORD-ECHODALE-PER",-76.569702,39.35663,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"12:30:00","5A","1000 E NORTHERN PKWY","BURGLARY","I",null,523,"NORTHERN","CHINQUAPIN PARK\/BELV",-76.6013164654,39.3652339039,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"01:46:00","5B","1000 CHURCH ST","BURGLARY","I",null,911,"SOUTHERN","CURTIS BAY",-76.597151,39.221556,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"12:33:00","5B","500 N EAST AVE","BURGLARY","I",null,224,"SOUTHEAST","ELLWOOD PARK\/MONUMEN",-76.5719222524,39.2976162864,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"16:00:00","5A","2800 E NORTHERN PKWY","BURGLARY","I",null,424,"NORTHEAST","NORTH HARFORD ROAD",-76.5557461533,39.3646817624,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"13:52:00","5A","4200 SEIDEL AVE","BURGLARY","I",null,442,"NORTHEAST","FRANKFORD",-76.5622777613,39.3292298578,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"21:00:00","5D","800 WASHINGTON BLVD","BURGLARY","I",null,932,"SOUTHERN","WASHINGTON VILLAGE",-76.630579,39.282885,null,"OTHER - INSIDE",null,1
1546128000000,"14:00:00","5D","0 S STOCKTON ST","BURGLARY","I",null,931,"SOUTHERN","HOLLINS PARK",-76.637445,39.288086,null,"RELIGIOUS  INSTITUTI",null,1
1546128000000,"23:15:00","5A","2200 W PRATT ST","BURGLARY","I",null,841,"SOUTHWEST","CARROLLTON RIDGE",-76.6516322318,39.2847483508,null,"ROW\/TOWNHOUSE-OCC","Tri-District",1
1546128000000,"02:00:00","5A","100 S POTOMAC ST","BURGLARY","I",null,222,"SOUTHEAST","BALTIMORE-LINWOOD",-76.5747108585,39.2907880621,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"16:30:00","5A","2600 W NORTH AVE","BURGLARY",null,null,731,"WESTERN","MONDAWMIN",-76.6603496574,39.3109156292,null,null,null,1
1546128000000,"10:00:00","5D","1400 LIGHT ST","BURGLARY","O",null,942,"SOUTHERN","S.B.I.C.",-76.611999,39.274186,null,"SHED\/GARAGE",null,1
1546128000000,"02:00:00","5A","2800 SEAMON AVE","BURGLARY","I",null,922,"SOUTHERN","CHERRY HILL",-76.6190700836,39.2528925968,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"21:30:00","5C","3100 E FAIRMOUNT AVE","BURGLARY","I",null,222,"SOUTHEAST","BALTIMORE-LINWOOD",-76.5730101351,39.2934978034,null,"ROW\/TOWNHOUSE-OCC",null,1
1546128000000,"01:17:00","5B","800 SAINT DUNSTANS RD","BURGLARY","I",null,523,"NORTHERN","MID-GOVANS",-76.603402,39.360716,null,"ROW\/TOWNHOUSE-OCC",null,1
1546041600000,"17:00:00","5D","2100 WASHINGTON BLVD","BURGLARY","I",null,935,"SOUTHERN","CARROLL PARK",-76.645984,39.272348,null,"GARAGE ON PRIV. PROP",null,1
1546041600000,"20:10:00","5B","2500 SEAMON AVE","BURGLARY","I",null,922,"SOUTHERN","CHERRY HILL",-76.6222425384,39.2533864198,null,"APT\/CONDO - OCCUPIED",null,1
1546041600000,"20:15:00","5A","6100 CHINQUAPIN PKWY","BURGLARY","I",null,522,"NORTHERN","GLEN OAKS",-76.599393,39.367992,null,"ROW\/TOWNHOUSE-OCC",null,1
1546041600000,"17:00:00","5A","400 MILLINGTON AVE","BURGLARY","I",null,841,"SOUTHWEST","MILL HILL",-76.6566654179,39.2807077277,null,"ROW\/TOWNHOUSE-VAC",null,1
1546041600000,"13:30:00","5B","1400 CHERRY ST","BURGLARY","O",null,911,"SOUTHERN","CURTIS BAY",-76.5905135074,39.2221153269,null,"STREET",null,1
