"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1546214400000,"22:10:00","9S","1200 E PRESTON ST","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.601784,39.305098,null,"PUBLIC AREA",null,1
1546214400000,"22:10:00","9S","1200 E PRESTON ST","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.601784,39.305098,null,"PUBLIC AREA",null,1
1546214400000,"22:08:00","9S","700 WHITMORE AV","SHOOTING","Outside","FIREARM",721,"WESTERN","EVERGREEN LAWN",-76.657948,39.295474,null,"PUBLIC AREA",null,1
1546214400000,"22:08:00","9S","2800 SPRINGHILL AV","SHOOTING","Outside","FIREARM",612,"NORTHWEST","PARK CIRCLE",-76.6628153164,39.3311553788,null,"STREET",null,1
1546041600000,"19:37:00","9S","4400 PARK HEIGHTS AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","CENTRAL PARK HEIGHTS",-76.6665619951,39.3397306892,null,"STREET",null,1
1546041600000,"15:00:00","9S","4700 FREDERICK AV","SHOOTING","Outside","FIREARM",822,"SOUTHWEST","TREMONT",-76.6930249836,39.281488313,null,"STREET",null,1
1545868800000,"20:00:00","9S","1600 N ELLAMONT ST","SHOOTING","Outside","FIREARM",813,"SOUTHWEST","ROSEMONT",-76.670774,39.305798,null,"STREET",null,1
1545868800000,"05:40:00","9S","700 E PRESTON ST","SHOOTING","Outside","FIREARM",311,"EASTERN","JOHNSTON SQUARE",-76.6081057682,39.304862017,null,"STREET",null,1
1545868800000,"23:25:00","9S","1500 E LANVALE ST","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.5978173342,39.3095152326,null,"STREET","Eastern 1",1
1545868800000,"14:11:00","9S","2000 EDMONDSON AV","SHOOTING","Outside","FIREARM",722,"WESTERN","MIDTOWN EDMONDSON",-76.6491631901,39.2951244624,null,"STREET",null,1
1545868800000,"12:43:00","9S","2300 LIBERTY HEIGHTS AV","SHOOTING","Outside","FIREARM",611,"WESTERN","LIBERTY SQUARE",-76.6527747687,39.3185565027,null,"STREET",null,1
1545868800000,"13:37:00","9S","1000 N BENTALOU ST","SHOOTING","Inside","FIREARM",723,"WESTERN",null,-76.6535578981,39.2997774272,null,"COMMON BUSINESS",null,1
1545782400000,"14:22:00","9S","800 KEVIN RD","SHOOTING","Outside","FIREARM",822,"SOUTHWEST","ROGNEL HEIGHTS",-76.687139,39.296402,null,"STREET",null,1
1545609600000,"01:12:00","9S","6600 BUSHEY ST","SHOOTING","Outside","FIREARM",243,"SOUTHEAST",null,-76.535812,39.282677,null,"STREET",null,1
1545609600000,"18:18:00","9S","1600 N CALHOUN ST","SHOOTING","Outside","FIREARM",742,"WESTERN","SANDTOWN-WINCHESTER",-76.6423494246,39.3070144998,null,"STREET","Western",1
1545609600000,"21:50:00","9S","2900 MC ELDERRY ST","SHOOTING","Outside","FIREARM",224,"SOUTHEAST","ELLWOOD PARK/MONUMEN",-76.576543,39.297984,null,"STREET",null,1
1545609600000,"07:30:00","9S","4900 PALMER AV","SHOOTING","Outside","FIREARM",614,"NORTHWEST","CENTRAL PARK HEIGHTS",-76.671604,39.34718,null,"STREET",null,1
1545609600000,"00:56:00","9S","500 RICHWOOD AV","SHOOTING","Outside","FIREARM",524,"NORTHERN","RICHNOR SPRINGS",-76.608631,39.346945,null,"DWELLING",null,1
1545609600000,"23:25:00","9S","5900 DAYWALT AV","SHOOTING","Inside","FIREARM",441,"NORTHEAST","PEN-FALLSWAY",-76.530213,39.329094,null,"VACANT DWELLING",null,1
